AAER	1	49.7824740000000	4.6426460000000	197.9280000000000	151.5270000000000
AUBG	2	48.4213030000000	10.9213010000000	508.6660000000000	462.1850000000000
AUTN	3	46.9538440000000	4.2889790000000	353.6050000000000	305.1520000000000
BAIA	4	47.6517900000000	23.5577220000000	270.8640000000000	231.9790000000000
BBYS	5	48.7518040000000	19.1510090000000	487.4140000000000	443.9050000000000
BME1	6	47.4790240000000	19.0577010000000	178.3590000000000	134.5510000000000
BOGO	7	52.4759500000000	21.0353500000000	149.6090000000000	118.8080000000000
BOR1	8	52.2769600000000	17.0734630000000	124.3520000000000	89.0050000000000
BPDL	9	52.0352780000000	23.1273590000000	196.3530000000000	167.4140000000000
BRMF	10	45.7260780000000	4.9383970000000	256.9060000000000	207.2410000000000
BZR2	11	46.4957930000000	11.3382450000000	331.2190000000000	281.6660000000000
CLIB	12	50.7717080000000	15.0599010000000	448.3540000000000	405.0740000000000
DENT	13	50.9337090000000	3.3996760000000	63.9170000000000	19.0490000000000
DEVA	14	45.8784200000000	22.9135430000000	246.6360000000000	204.3060000000000
DIEP	15	52.5880570000000	8.3422340000000	81.6930000000000	38.8750000000000
DILL	16	49.3715670000000	6.6996760000000	227.6090000000000	179.6140000000000
EUSK	17	50.6741350000000	6.7635400000000	245.3330000000000	198.0270000000000
FRA2	18	48.9179460000000	24.7103110000000	302.3280000000000	270.0060000000000
GENO	19	44.4193910000000	8.9211490000000	155.5190000000000	110.7990000000000
GOR2	20	53.0497100000000	11.3496080000000	61.7290000000000	21.2760000000000
GRAC	21	43.7544930000000	6.9207720000000	1319.8589999999999	1269.9670000000001
GRAZ	22	47.0671330000000	15.4934860000000	538.2840000000000	490.8820000000000
GWWL	23	52.7379730000000	15.2052180000000	127.1510000000000	90.8620000000000
HEL2	24	54.1863170000000	7.8765360000000	92.1810000000000	53.0490000000000
HERS	25	50.8673170000000	0.3362770000000	76.5100000000000	31.4430000000000
HOFJ	26	50.3129050000000	11.8758970000000	614.9370000000000	567.5710000000000
IENG	27	45.0151350000000	7.6394100000000	316.6350000000000	268.5040000000000
IGMI	28	43.7956520000000	11.2138050000000	95.0650000000000	49.2470000000000
KARL	29	49.0112480000000	8.4112650000000	182.9490000000000	134.7290000000000
KATO	30	50.2532730000000	19.0356420000000	332.8610000000000	291.6190000000000
KLOP	31	50.2197680000000	8.7299420000000	222.4900000000000	174.2410000000000
KNJA	32	43.5665420000000	22.2553260000000	291.0550000000000	247.9200000000000
KUNZ	33	49.1072930000000	15.2009360000000	702.5130000000000	656.1050000000000
LEIJ	34	51.3539830000000	12.3741040000000	178.4000000000000	133.9600000000000
LICC	35	51.4997900000000	-0.1748360000000	88.5230000000000	42.4680000000000
MAN2	37	48.0186200000000	0.1552900000000	167.9820000000000	120.7250000000000
MLVL	38	48.8410610000000	2.5873170000000	160.5120000000000	115.9550000000000
MOPS	39	44.6293570000000	10.9492000000000	92.1460000000000	52.4860000000000
OROS	40	46.5552280000000	20.6713560000000	145.9910000000000	103.4200000000000
PFA3	41	47.5153190000000	9.7846690000000	1090.3230000000001	1043.6920000000000
POTS	42	52.3793000000000	13.0660970000000	144.4280000000000	104.0750000000000
PUYV	43	45.0436210000000	3.8788770000000	710.3900000000000	657.2790000000000
PZA2	44	45.5907650000000	15.2606700000000	212.7240000000000	166.1990000000000
REDZ	45	54.4723820000000	17.1175340000000	108.2770000000000	76.7890000000000
SABA	46	44.7595690000000	19.6966910000000	140.8740000000000	96.6660000000000
SPRN	47	47.6836500000000	16.5830610000000	278.8720000000000	233.4870000000000
SRJV	48	43.8678560000000	18.4139000000000	645.7750000000000	599.0570000000000
SWKI	49	54.0986130000000	22.9282280000000	215.9290000000000	188.5410000000000
TERS	50	53.3627420000000	5.2193950000000	56.1310000000000	14.7100000000000
TLMF	51	43.5746100000000	1.3751030000000	221.0730000000000	171.9610000000000
TUBO	52	49.2058970000000	16.5928450000000	324.2700000000000	279.5370000000000
USDL	53	49.4329110000000	22.5857790000000	529.7460000000000	494.1470000000000
VEN1	54	45.4305730000000	12.3540830000000	60.3890000000000	16.7560000000000
VFCH	55	47.2941980000000	1.7196790000000	153.2840000000000	106.5490000000000
WARE	56	50.6898780000000	5.2453150000000	187.9160000000000	141.6480000000000
WARN	57	54.1697910000000	12.1014310000000	50.7930000000000	12.5960000000000
WROC	58	51.1132640000000	17.0620460000000	180.8090000000000	140.5370000000000
WSRT	59	52.9146140000000	6.6045110000000	82.3160000000000	40.7650000000000
WTZR	60	49.1442010000000	12.8789160000000	666.0680000000000	619.1890000000000
ZIM2	61	46.8770970000000	7.4650360000000	956.4450000000001	907.5990000000000
ZOUF	62	46.5572230000000	12.9735580000000	1946.5260000000001	1898.3730000000000
