ID	DOMES	Date	B	L	Helips	Hnorm	ZTD	mZTD	GradN	GradE	mGradN	mGradE
BART	12234M001	2020-07-08 00:00:00.0	54.25069	20.81544	93.233	65.259	2,397.2	1.6	0.05	-0.65	0.23	0.22
BART	12234M001	2020-07-08 00:30:00.0	54.25069	20.81544	93.233	65.259	2,393.9	1.5	-0.36	-0.27	0.23	0.23
BART	12234M001	2020-07-08 01:00:00.0	54.25069	20.81544	93.236	65.262	2,396.8	0.9	-0.69	-0.18	0.11	0.1
BEDZ	NDNT-BEDZ	2020-07-08 00:00:00.0	50.34453	19.15936	315.215	274.423	2,355.1	1.2	-0.22	-0.81	0.15	0.14
BEDZ	NDNT-BEDZ	2020-07-08 00:30:00.0	50.34453	19.15936	315.215	274.423	2,355.6	1.2	-0.1	-0.59	0.14	0.16
BEDZ	NDNT-BEDZ	2020-07-08 01:00:00.0	50.34453	19.15936	315.215	274.423	2,361.1	0.9	-0.37	-0.67	0.11	0.11
BES1	MUSE-BES1	2020-07-08 00:00:00.0	50.32831	19.12436	310.63	269.73	2,361.9	1.4	-0.12	-0.95	0.17	0.18
BES1	MUSE-BES1	2020-07-08 00:30:00.0	50.32831	19.12436	310.63	269.73	2,361.1	1.4	-0.62	-0.27	0.18	0.22
BES1	MUSE-BES1	2020-07-08 01:00:00.0	50.32831	19.12436	310.632	269.732	2,360.6	1	-0.64	-0.12	0.11	0.15
BIA2	NDNT-BIAL	2020-07-08 00:00:00.0	49.39022	20.09875	754.862	713.423	2,225.3	1.3	-1.01	-0.35	0.16	0.16
BIA2	NDNT-BIAL	2020-07-08 00:30:00.0	49.39022	20.09875	754.862	713.423	2,220.4	1.2	-0.72	-0.38	0.14	0.16
BIA2	NDNT-BIAL	2020-07-08 01:00:00.0	49.39022	20.09875	754.867	713.428	2,216.7	0.9	-0.43	-0.43	0.11	0.11
BILG	12236M001	2020-07-08 00:00:00.0	50.5315	22.71858	242.966	209.277	2,344.1	1.3	0.28	0.41	0.17	0.16
BILG	12236M001	2020-07-08 00:30:00.0	50.5315	22.71858	242.966	209.277	2,341.4	1.3	0.32	1.1	0.15	0.18
BILG	12236M001	2020-07-08 01:00:00.0	50.5315	22.71858	242.964	209.275	2,347.3	0.9	0.08	0.06	0.1	0.1
BOGI	12207M003	2020-07-08 00:00:00.0	52.475	21.03522	139.966	109.158	2,387.2	1.9	-0.53	0.71	0.27	0.29
BOGI	12207M003	2020-07-08 00:30:00.0	52.475	21.03522	139.966	109.158	2,381.5	1.5	-0.77	0.88	0.22	0.26
BOGI	12207M003	2020-07-08 01:00:00.0	52.475	21.03522	139.976	109.168	2,383.5	1.1	-0.68	1.17	0.17	0.14
BOGO	12207M002	2020-07-08 00:00:00.0	52.47594	21.03536	149.61	118.804	2,386.2	1.2	-1.35	-1.16	0.15	0.14
BOGO	12207M002	2020-07-08 00:30:00.0	52.47594	21.03536	149.61	118.804	2,387	1.2	-1.4	-0.11	0.16	0.17
BOGO	12207M002	2020-07-08 01:00:00.0	52.47594	21.03536	149.611	118.805	2,380.9	0.9	-0.05	-0.24	0.12	0.12
BOR1	12205M002	2020-07-08 00:00:00.0	52.27694	17.07347	124.426	89.075	2,417.2	1.9	-0.98	-0.7	0.29	0.25
BOR1	12205M002	2020-07-08 00:30:00.0	52.27694	17.07347	124.426	89.075	2,422	1.5	-0.79	-0.41	0.24	0.22
BOR1	12205M002	2020-07-08 01:00:00.0	52.27694	17.07347	124.433	89.082	2,428.9	1.1	-0.78	-0.62	0.16	0.12
BPDL	12223M001	2020-07-08 00:00:00.0	52.03528	23.12736	196.356	167.422	2,365.3	1.2	-0.31	-0.33	0.18	0.15
BPDL	12223M001	2020-07-08 00:30:00.0	52.03528	23.12736	196.356	167.422	2,362.7	1.2	-0.06	-0.4	0.15	0.16
BPDL	12223M001	2020-07-08 01:00:00.0	52.03528	23.12736	196.357	167.423	2,365	0.9	-0.47	-0.51	0.11	0.1
BRZE	NDNT-BRZE	2020-07-08 00:00:00.0	49.969	20.59017	327.372	289.012	2,341.9	1.4	-0.44	-0.33	0.23	0.18
BRZE	NDNT-BRZE	2020-07-08 00:30:00.0	49.969	20.59017	327.372	289.012	2,343.3	1.4	0.07	-0.36	0.18	0.18
BRZE	NDNT-BRZE	2020-07-08 01:00:00.0	49.969	20.59017	327.375	289.015	2,340.2	1	0.28	-0.46	0.14	0.1
BRZG	NDNT-BRZG	2020-07-08 00:00:00.0	50.86219	17.45103	190.698	150.349	2,405.5	1.5	-0.56	-1.05	0.19	0.18
BRZG	NDNT-BRZG	2020-07-08 00:30:00.0	50.86219	17.45103	190.698	150.349	2,401.5	1.5	-0.98	0.03	0.19	0.2
BRZG	NDNT-BRZG	2020-07-08 01:00:00.0	50.86219	17.45103	190.696	150.347	2,406.9	1.1	-1.56	-0.14	0.12	0.13
BUCU	11401M001	2020-07-08 00:00:00.0	44.46394	26.12575	143.334	108.823	2,458.1	1.4	-1.88	0.83	0.2	0.17
BUCU	11401M001	2020-07-08 00:30:00.0	44.46394	26.12575	143.334	108.823	2,458.1	1.6	-2.25	0.52	0.18	0.22
BUCU	11401M001	2020-07-08 01:00:00.0	44.46394	26.12575	143.33	108.819	2,450.7	1	-2.88	1.36	0.15	0.09
BUSK	NDNT-BUSK	2020-07-08 00:00:00.0	50.47422	20.71275	311.409	274.013	2,343.4	1.3	-0.91	-0.7	0.16	0.16
BUSK	NDNT-BUSK	2020-07-08 00:30:00.0	50.47422	20.71275	311.409	274.013	2,342.5	1.2	-0.73	-0.54	0.15	0.16
BUSK	NDNT-BUSK	2020-07-08 01:00:00.0	50.47422	20.71275	311.412	274.016	2,343.5	0.9	-0.61	-0.46	0.11	0.1
BUZD	12238M001	2020-07-08 00:00:00.0	50.46622	20.71894	299.278	261.883	2,344.8	1.4	-0.9	-0.69	0.22	0.17
BUZD	12238M001	2020-07-08 00:30:00.0	50.46622	20.71894	299.278	261.883	2,347.1	1.3	-0.99	-0.83	0.17	0.18
BUZD	12238M001	2020-07-08 01:00:00.0	50.46622	20.71894	299.279	261.884	2,343.1	0.9	-0.73	-0.31	0.13	0.1
BYDG	12224M001	2020-07-08 00:00:00.0	53.13456	17.99364	104.44	73.832	2,401.3	1.2	-0.78	-0.82	0.14	0.14
BYDG	12224M001	2020-07-08 00:30:00.0	53.13456	17.99364	104.44	73.832	2,400.6	1.1	-1.38	-1.28	0.14	0.14
BYDG	12224M001	2020-07-08 01:00:00.0	53.13456	17.99364	104.444	73.836	2,415.7	0.9	-1.29	-1.12	0.11	0.1
CBKA	12221M001	2020-07-08 00:00:00.0	52.21472	21.06769	125.191	93.943	2,390.8	1.2	-0.74	-0.22	0.15	0.16
CBKA	12221M001	2020-07-08 00:30:00.0	52.21472	21.06769	125.191	93.943	2,390	1.2	-0.18	-0.08	0.15	0.16
CBKA	12221M001	2020-07-08 01:00:00.0	52.21472	21.06769	125.19	93.942	2,388.8	0.9	-0.72	0.13	0.11	0.1
CCHN	12239M001	2020-07-08 00:00:00.0	52.88281	20.59783	167.633	136.739	2,381.8	1.2	-1.22	-0.28	0.15	0.14
CCHN	12239M001	2020-07-08 00:30:00.0	52.88281	20.59783	167.633	136.739	2,384.1	1.1	-1.23	-0.3	0.15	0.15
CCHN	12239M001	2020-07-08 01:00:00.0	52.88281	20.59783	167.636	136.742	2,382.5	0.9	-0.84	-0.83	0.12	0.12
CFRM	11525M001	2020-07-08 00:00:00.0	49.68481	18.35319	373.669	330.846	2,346.8	2.1	0.11	-1.31	0.29	0.27
CFRM	11525M001	2020-07-08 00:30:00.0	49.68481	18.35319	373.669	330.846	2,347.7	1.7	-0.38	-1.1	0.23	0.24
CFRM	11525M001	2020-07-08 01:00:00.0	49.68481	18.35319	373.666	330.843	2,351	1.6	-0.23	-0.74	0.2	0.23
CHEL	12240M001	2020-07-08 00:00:00.0	51.13	23.48042	255.522	225.905	2,342.6	1.3	-1.27	-0.25	0.16	0.16
CHEL	12240M001	2020-07-08 00:30:00.0	51.13	23.48042	255.522	225.905	2,342.8	1.4	-1.13	-0.27	0.15	0.18
CHEL	12240M001	2020-07-08 01:00:00.0	51.13	23.48042	255.52	225.903	2,344.5	0.9	-1.04	-0.4	0.11	0.1
CHNO	12241M001	2020-07-08 00:00:00.0	53.16406	15.41406	105.393	70.638	2,441.3	1.4	-1.07	-1.93	0.18	0.18
CHNO	12241M001	2020-07-08 00:30:00.0	53.16406	15.41406	105.393	70.638	2,433.2	1.3	-1.07	-0.39	0.17	0.17
CHNO	12241M001	2020-07-08 01:00:00.0	53.16406	15.41406	105.395	70.64	2,429.8	1	-1.76	0.44	0.12	0.13
CHOJ	12242M001	2020-07-08 00:00:00.0	53.69519	17.55236	204.053	173.303	2,391.2	1.4	-0.19	-2.37	0.22	0.18
CHOJ	12242M001	2020-07-08 00:30:00.0	53.69519	17.55236	204.053	173.303	2,392.8	1.3	-0.27	-1.46	0.2	0.19
CHOJ	12242M001	2020-07-08 01:00:00.0	53.69519	17.55236	204.052	173.302	2,399.1	1	-0.9	-0.38	0.12	0.12
CLIB	11526M001	2020-07-08 00:00:00.0	50.77169	15.05989	448.437	405.147	2,339	1.2	-1.36	-0.26	0.15	0.12
CLIB	11526M001	2020-07-08 00:30:00.0	50.77169	15.05989	448.437	405.147	2,337.6	1.1	-1.19	-0.42	0.13	0.1
CLIB	11526M001	2020-07-08 01:00:00.0	50.77169	15.05989	448.438	405.148	2,338.1	0.9	-0.81	-0.57	0.11	0.11
CNIV	15501M001	2020-07-08 00:00:00.0	51.51894	31.31361	175.937	151.187	2,454.7	1.5	0.53	-0.73	0.17	0.18
CNIV	15501M001	2020-07-08 00:30:00.0	51.51894	31.31361	175.937	151.187	2,457.1	1.4	0.92	-0.2	0.17	0.21
CNIV	15501M001	2020-07-08 01:00:00.0	51.51894	31.31361	175.915	151.165	2,475.9	1	-0.71	0.14	0.11	0.11
CPAR	11527M001	2020-07-08 00:00:00.0	50.03956	15.78325	283.359	239.254	2,381.9	1.5	-0.82	-0.37	0.21	0.17
CPAR	11527M001	2020-07-08 00:30:00.0	50.03956	15.78325	283.359	239.254	2,383.3	1.3	-0.43	-0.58	0.17	0.13
CPAR	11527M001	2020-07-08 01:00:00.0	50.03956	15.78325	283.359	239.254	2,392	1.3	0.05	-1.29	0.14	0.16
CRAK	11528M001	2020-07-08 00:00:00.0	50.10239	13.72925	381.965	336.127	2,361.1	1.4	-1.02	0.33	0.19	0.16
CRAK	11528M001	2020-07-08 00:30:00.0	50.10239	13.72925	381.965	336.127	2,359.7	1.3	-1.57	0.26	0.18	0.13
CRAK	11528M001	2020-07-08 01:00:00.0	50.10239	13.72925	381.967	336.129	2,357.5	1	-1.36	0.7	0.14	0.11
CZES	NDNT-CZES	2020-07-08 00:00:00.0	50.78419	19.15317	312.09	273.238	2,352.3	1.2	-0.54	0.02	0.15	0.14
CZES	NDNT-CZES	2020-07-08 00:30:00.0	50.78419	19.15317	312.09	273.238	2,362.5	1.2	-0.72	0.41	0.14	0.15
CZES	NDNT-CZES	2020-07-08 01:00:00.0	50.78419	19.15317	312.095	273.243	2,362.7	0.9	-0.49	-0.34	0.11	0.1
DAB1	NDNT-DABT	2020-07-08 00:00:00.0	50.17606	20.992	249.886	212.849	2,365.7	1.2	-0.76	0.13	0.15	0.13
DAB1	NDNT-DABT	2020-07-08 00:30:00.0	50.17606	20.992	249.886	212.849	2,360.2	1.2	-0.63	-0.48	0.13	0.14
DAB1	NDNT-DABT	2020-07-08 01:00:00.0	50.17606	20.992	249.888	212.851	2,361.3	0.9	-0.75	-0.31	0.1	0.1
DEBI	NDNT-DEBI	2020-07-08 00:00:00.0	50.04361	21.41992	258.872	222.696	2,360.4	1.4	-0.84	-0.92	0.18	0.16
DEBI	NDNT-DEBI	2020-07-08 00:30:00.0	50.04361	21.41992	258.872	222.696	2,357.2	1.4	-0.77	-0.26	0.17	0.18
DEBI	NDNT-DEBI	2020-07-08 01:00:00.0	50.04361	21.41992	258.87	222.694	2,360.5	0.9	-0.64	-0.06	0.11	0.1
DRWP	12243M001	2020-07-08 00:00:00.0	53.52633	15.81747	171.088	136.792	2,416	1.3	-1.06	0.64	0.17	0.15
DRWP	12243M001	2020-07-08 00:30:00.0	53.52633	15.81747	171.088	136.792	2,406.2	1.2	-1.04	0.67	0.16	0.13
DRWP	12243M001	2020-07-08 01:00:00.0	53.52633	15.81747	171.09	136.794	2,407	1	-1.84	-0.91	0.12	0.11
DYNW	NDNT-DYNW	2020-07-08 00:00:00.0	49.81286	22.22936	311.672	276.614	2,334.8	1.9	-1.65	-1.58	0.28	0.27
DYNW	NDNT-DYNW	2020-07-08 00:30:00.0	49.81286	22.22936	311.672	276.614	2,340	1.9	-1.58	-1.33	0.23	0.28
DYNW	NDNT-DYNW	2020-07-08 01:00:00.0	49.81286	22.22936	311.654	276.596	2,338.4	1.2	-0.5	-0.48	0.14	0.15
DZIA	12244M001	2020-07-08 00:00:00.0	53.23033	20.16739	206.577	176.059	2,370.7	1.2	-1.04	-0.37	0.15	0.14
DZIA	12244M001	2020-07-08 00:30:00.0	53.23033	20.16739	206.577	176.059	2,369.3	1.1	-1.59	-0.34	0.15	0.14
DZIA	12244M001	2020-07-08 01:00:00.0	53.23033	20.16739	206.573	176.055	2,371.1	0.9	-0.81	-0.24	0.11	0.11
ELBL	18991M001	2020-07-08 00:00:00.0	54.15556	19.40036	52.684	23.676	2,423.3	1.5	-1.89	0.03	0.21	0.21
ELBL	18991M001	2020-07-08 00:30:00.0	54.15556	19.40036	52.684	23.676	2,423.4	1.4	-1.66	-0.65	0.21	0.21
ELBL	18991M001	2020-07-08 01:00:00.0	54.15556	19.40036	52.691	23.683	2,413.5	0.8	-0.79	-0.63	0.1	0.1
GDA1	12252M002	2020-07-08 00:00:00.0	54.35142	18.64108	63.176	33.944	2,412.4	1.5	0.11	-0.34	0.2	0.19
GDA1	12252M002	2020-07-08 00:30:00.0	54.35142	18.64108	63.176	33.944	2,416.7	1.4	-0.11	-0.18	0.2	0.2
GDA1	12252M002	2020-07-08 01:00:00.0	54.35142	18.64108	63.175	33.943	2,420.9	0.9	-0.45	-0.44	0.11	0.11
GIZY	12253M001	2020-07-08 00:00:00.0	54.03578	21.76778	166.817	138.577	2,379.2	1.3	-0.39	-0.41	0.15	0.17
GIZY	12253M001	2020-07-08 00:30:00.0	54.03578	21.76778	166.817	138.577	2,378.7	1.3	-0.38	0.04	0.16	0.17
GIZY	12253M001	2020-07-08 01:00:00.0	54.03578	21.76778	166.823	138.583	2,377.7	0.9	-0.68	-0.6	0.12	0.1
GLIW	NDNT-GLIW	2020-07-08 00:00:00.0	50.22644	18.60972	284.048	242.472	2,369.2	1.5	-0.58	0.16	0.21	0.19
GLIW	NDNT-GLIW	2020-07-08 00:30:00.0	50.22644	18.60972	284.048	242.472	2,370.2	1.5	-0.77	0.37	0.19	0.21
GLIW	NDNT-GLIW	2020-07-08 01:00:00.0	50.22644	18.60972	284.047	242.471	2,380	1.1	-0.66	-0.38	0.13	0.14
GLOG	12254M001	2020-07-08 00:00:00.0	51.66525	16.07428	144.43	104.587	2,423	1.3	-1.2	-0.8	0.18	0.15
GLOG	12254M001	2020-07-08 00:30:00.0	51.66525	16.07428	144.43	104.587	2,434.2	1.2	-1.48	0.06	0.17	0.15
GLOG	12254M001	2020-07-08 01:00:00.0	51.66525	16.07428	144.434	104.591	2,436.6	1	-1.24	-0.43	0.14	0.12
GLSV	12356M001	2020-07-08 00:00:00.0	50.36419	30.49675	226.31	200.938	2,466.8	1.3	-1.45	0.12	0.15	0.17
GLSV	12356M001	2020-07-08 00:30:00.0	50.36419	30.49675	226.31	200.938	2,467.6	1.4	-0.95	0.19	0.16	0.19
GLSV	12356M001	2020-07-08 01:00:00.0	50.36419	30.49675	226.31	200.938	2,460.5	0.9	-0.46	1.34	0.1	0.1
GLUB	NDNT-GLUB	2020-07-08 00:00:00.0	50.20236	17.81056	321.388	279.164	2,358.7	1.4	-0.57	-0.32	0.2	0.17
GLUB	NDNT-GLUB	2020-07-08 00:30:00.0	50.20236	17.81056	321.388	279.164	2,356.5	1.4	0.09	-0.17	0.17	0.17
GLUB	NDNT-GLUB	2020-07-08 01:00:00.0	50.20236	17.81056	321.382	279.158	2,364.9	1.2	-0.81	-0.18	0.15	0.15
GNIE	12255M001	2020-07-08 00:00:00.0	52.53294	17.58386	172.13	138.868	2,392.2	1.3	-1.15	-0.18	0.15	0.17
GNIE	12255M001	2020-07-08 00:30:00.0	52.53294	17.58386	172.13	138.868	2,394.5	1.1	-1.15	-0.73	0.15	0.14
GNIE	12255M001	2020-07-08 01:00:00.0	52.53294	17.58386	172.137	138.875	2,400.9	1	-0.99	-0.56	0.13	0.12
GOLE	12256M001	2020-07-08 00:00:00.0	53.55872	14.838	68.87	33.693	2,436.7	1.3	-1.18	-0.44	0.17	0.16
GOLE	12256M001	2020-07-08 00:30:00.0	53.55872	14.838	68.87	33.693	2,432.4	1.2	-0.91	-0.23	0.16	0.16
GOLE	12256M001	2020-07-08 01:00:00.0	53.55872	14.838	68.867	33.69	2,433.5	0.9	-1.04	0.37	0.1	0.1
GOPE	11502M002	2020-07-08 00:00:00.0	49.91369	14.78564	592.733	547.564	2,301.5	1.5	-1.05	-0.42	0.23	0.17
GOPE	11502M002	2020-07-08 00:30:00.0	49.91369	14.78564	592.733	547.564	2,305.2	1.3	-0.94	0.11	0.21	0.14
GOPE	11502M002	2020-07-08 01:00:00.0	49.91369	14.78564	592.733	547.564	2,306.8	1	-0.47	-0.17	0.16	0.12
GOR1	NDNT-GORL	2020-07-08 00:00:00.0	49.65586	21.13944	381.236	343.381	2,328.9	1.4	-0.69	-0.45	0.18	0.16
GOR1	NDNT-GORL	2020-07-08 00:30:00.0	49.65586	21.13944	381.236	343.381	2,329.3	1.4	-1	-0.53	0.17	0.18
GOR1	NDNT-GORL	2020-07-08 01:00:00.0	49.65586	21.13944	381.242	343.387	2,327.9	0.9	-0.61	0.08	0.11	0.1
GRAJ	12245M001	2020-07-08 00:00:00.0	53.65106	22.45231	165.194	136.678	2,385.6	1.4	-0.83	-0.84	0.22	0.19
GRAJ	12245M001	2020-07-08 00:30:00.0	53.65106	22.45231	165.194	136.678	2,381.6	1.4	-0.47	-0.73	0.2	0.2
GRAJ	12245M001	2020-07-08 01:00:00.0	53.65106	22.45231	165.195	136.679	2,374.8	0.9	-0.86	-0.96	0.14	0.13
GWWL	12225M001	2020-07-08 00:00:00.0	52.73797	15.20522	127.166	90.877	2,430.8	1.3	-1.74	0.3	0.16	0.15
GWWL	12225M001	2020-07-08 00:30:00.0	52.73797	15.20522	127.166	90.877	2,419.8	1.2	-1.74	-0.02	0.16	0.14
GWWL	12225M001	2020-07-08 01:00:00.0	52.73797	15.20522	127.169	90.88	2,421	0.9	-1.62	0.22	0.11	0.11
HAJN	12247M001	2020-07-08 00:00:00.0	52.74097	23.56589	196.626	168.355	2,364.6	1.3	-1.12	0.38	0.2	0.18
HAJN	12247M001	2020-07-08 00:30:00.0	52.74097	23.56589	196.626	168.355	2,359.6	1.2	-1.15	-0.11	0.17	0.18
HAJN	12247M001	2020-07-08 01:00:00.0	52.74097	23.56589	196.624	168.353	2,362.2	0.9	-0.97	-0.71	0.12	0.11
HOZD	12248M001	2020-07-08 00:00:00.0	50.18886	23.36225	298.852	266.981	2,333.1	1.4	-0.83	0.49	0.16	0.16
HOZD	12248M001	2020-07-08 00:30:00.0	50.18886	23.36225	298.852	266.981	2,332.5	1.4	-1.01	0.98	0.17	0.19
HOZD	12248M001	2020-07-08 01:00:00.0	50.18886	23.36225	298.86	266.989	2,328.9	1	-0.73	-0.14	0.11	0.12
HRUB	12249M001	2020-07-08 00:00:00.0	50.80469	23.88628	234.426	204.498	2,363	1.6	-0.71	-0.85	0.24	0.21
HRUB	12249M001	2020-07-08 00:30:00.0	50.80469	23.88628	234.426	204.498	2,361.5	1.4	0.77	-1.16	0.19	0.2
HRUB	12249M001	2020-07-08 01:00:00.0	50.80469	23.88628	234.425	204.497	2,352.9	1	-1.03	-1.13	0.16	0.12
IGEO	15101M001	2020-07-08 00:00:00.0	47.03036	28.84353	105.853	74.614	2,434.4	1.3	0.17	2.58	0.15	0.16
IGEO	15101M001	2020-07-08 00:30:00.0	47.03036	28.84353	105.853	74.614	2,432.5	1.4	-0.17	1.7	0.16	0.19
IGEO	15101M001	2020-07-08 01:00:00.0	47.03036	28.84353	105.857	74.618	2,426.8	1	0.05	0.73	0.1	0.1
ILAW	12250M001	2020-07-08 00:00:00.0	53.58714	19.56797	162.815	133.331	2,383.9	1.2	-0.74	0.18	0.14	0.14
ILAW	12250M001	2020-07-08 00:30:00.0	53.58714	19.56797	162.815	133.331	2,381.4	1.1	-0.68	0.31	0.14	0.14
ILAW	12250M001	2020-07-08 01:00:00.0	53.58714	19.56797	162.818	133.334	2,381.6	0.8	-0.89	0.35	0.1	0.09
JAR1	NDNT-JARO	2020-07-08 00:00:00.0	50.01719	22.67853	268.93	235.091	2,349.8	1.1	-0.82	-0.92	0.12	0.12
JAR1	NDNT-JARO	2020-07-08 00:30:00.0	50.01719	22.67853	268.93	235.091	2,344.7	1.1	-0.42	0.31	0.11	0.13
JAR1	NDNT-JARO	2020-07-08 01:00:00.0	50.01719	22.67853	268.93	235.091	2,348.8	0.8	-0.58	-0.42	0.08	0.07
JAST	NDNT-JAST	2020-07-08 00:00:00.0	49.95256	18.61192	342.802	300.529	2,358.5	1.2	-0.66	-1.67	0.14	0.13
JAST	NDNT-JAST	2020-07-08 00:30:00.0	49.95256	18.61192	342.802	300.529	2,360.4	1.1	-1.1	-0.9	0.12	0.12
JAST	NDNT-JAST	2020-07-08 01:00:00.0	49.95256	18.61192	342.809	300.536	2,357.1	1	-0.54	-0.4	0.11	0.11
JEDR	NDNT-JEDR	2020-07-08 00:00:00.0	50.64175	20.30078	297.605	259.866	2,352	1.1	-0.48	-0.77	0.13	0.12
JEDR	NDNT-JEDR	2020-07-08 00:30:00.0	50.64175	20.30078	297.605	259.866	2,351.3	1.1	-0.64	-0.42	0.12	0.12
JEDR	NDNT-JEDR	2020-07-08 01:00:00.0	50.64175	20.30078	297.604	259.865	2,350.7	0.8	-0.27	-0.49	0.08	0.08
JLGR	12251M001	2020-07-08 00:00:00.0	50.91947	15.73325	408.207	365.355	2,342.8	1.5	-0.53	-0.45	0.24	0.17
JLGR	12251M001	2020-07-08 00:30:00.0	50.91947	15.73325	408.207	365.355	2,345.1	1.4	-0.49	-0.11	0.21	0.14
JLGR	12251M001	2020-07-08 01:00:00.0	50.91947	15.73325	408.208	365.356	2,344.6	1	-0.56	0.14	0.15	0.11
JOZ2	12204M002	2020-07-08 00:00:00.0	52.09783	21.03236	152.507	120.868	2,386.2	1.4	-0.8	-0.77	0.16	0.19
JOZ2	12204M002	2020-07-08 00:30:00.0	52.09783	21.03236	152.507	120.868	2,383.1	1.4	-0.81	-0.76	0.19	0.2
JOZ2	12204M002	2020-07-08 01:00:00.0	52.09783	21.03236	152.513	120.874	2,379.3	0.9	-0.77	-0.26	0.12	0.1
JOZE	12204M001	2020-07-08 00:00:00.0	52.09728	21.03156	141.611	109.97	2,391.2	1.5	-0.23	-0.39	0.22	0.2
JOZE	12204M001	2020-07-08 00:30:00.0	52.09728	21.03156	141.611	109.97	2,391.3	1.6	0.13	-0.85	0.27	0.24
JOZE	12204M001	2020-07-08 01:00:00.0	52.09728	21.03156	141.615	109.974	2,384.9	1	-1.42	-0.24	0.17	0.11
KALI	12257M001	2020-07-08 00:00:00.0	51.75389	18.09517	147.75	111.752	2,395.2	1.5	-1.88	-0.64	0.22	0.17
KALI	12257M001	2020-07-08 00:30:00.0	51.75389	18.09517	147.75	111.752	2,401.8	1.4	-1.76	-1.35	0.19	0.17
KALI	12257M001	2020-07-08 01:00:00.0	51.75389	18.09517	147.746	111.748	2,407.5	1.1	-1.75	-0.71	0.15	0.12
KAM1	12258M001	2020-07-08 00:00:00.0	53.96306	14.77739	57.757	22.807	2,427	1.3	-0.78	0.28	0.18	0.17
KAM1	12258M001	2020-07-08 00:30:00.0	53.96306	14.77739	57.757	22.807	2,427.3	1.3	-0.67	0.12	0.17	0.17
KAM1	12258M001	2020-07-08 01:00:00.0	53.96306	14.77739	57.753	22.803	2,427.1	0.9	-0.1	-0.14	0.1	0.11
KATO	12219S001	2020-07-08 00:00:00.0	50.25328	19.03564	332.877	291.612	2,349.2	1.2	-0.69	-1.11	0.15	0.14
KATO	12219S001	2020-07-08 00:30:00.0	50.25328	19.03564	332.877	291.612	2,352.8	1.2	-0.96	-1.5	0.13	0.15
KATO	12219S001	2020-07-08 01:00:00.0	50.25328	19.03564	332.877	291.612	2,355.1	0.9	-0.65	-1.06	0.11	0.1
KAZ1	NDNT-KAZA	2020-07-08 00:00:00.0	50.30422	20.45164	261.171	222.968	2,361	1.3	-0.69	-0.87	0.16	0.15
KAZ1	NDNT-KAZA	2020-07-08 00:30:00.0	50.30422	20.45164	261.171	222.968	2,363.5	1.2	-0.65	-1.17	0.15	0.16
KAZ1	NDNT-KAZA	2020-07-08 01:00:00.0	50.30422	20.45164	261.17	222.967	2,361	0.9	-0.98	-0.23	0.11	0.1
KEPN	12259M001	2020-07-08 00:00:00.0	51.28017	17.98358	220.297	181.81	2,386.4	1.4	-0.46	-0.33	0.19	0.17
KEPN	12259M001	2020-07-08 00:30:00.0	51.28017	17.98358	220.297	181.81	2,383.7	1.4	-0.73	-0.78	0.18	0.16
KEPN	12259M001	2020-07-08 01:00:00.0	51.28017	17.98358	220.297	181.81	2,388.7	1	-0.33	-0.2	0.13	0.12
KES1	MUSE-KES1	2020-07-08 00:00:00.0	50.27158	19.02614	339.93	298.718	2,351.9	1.6	-0.87	-1.73	0.19	0.22
KES1	MUSE-KES1	2020-07-08 00:30:00.0	50.27158	19.02614	339.93	298.718	2,352.9	1.3	-0.75	-1.8	0.16	0.17
KES1	MUSE-KES1	2020-07-08 01:00:00.0	50.27158	19.02614	339.933	298.721	2,354.2	1	-0.79	-0.94	0.12	0.11
KILE	NDNT-KIEL	2020-07-08 00:00:00.0	50.90847	20.66397	364.63	328.069	2,330.9	1.2	-0.87	-0.69	0.15	0.14
KILE	NDNT-KIEL	2020-07-08 00:30:00.0	50.90847	20.66397	364.63	328.069	2,328.9	1.2	-0.2	0.1	0.14	0.15
KILE	NDNT-KIEL	2020-07-08 01:00:00.0	50.90847	20.66397	364.629	328.068	2,331.3	1	0.03	-0.36	0.11	0.12
KLCE	12260M001	2020-07-08 00:00:00.0	50.87575	20.62967	333.56	296.868	2,332.8	1.2	-0.82	-0.43	0.15	0.14
KLCE	12260M001	2020-07-08 00:30:00.0	50.87575	20.62967	333.56	296.868	2,334.9	1.2	-0.72	-0.53	0.14	0.15
KLCE	12260M001	2020-07-08 01:00:00.0	50.87575	20.62967	333.561	296.869	2,336	1	-0.51	-0.35	0.11	0.12
KLDZ	12261M001	2020-07-08 00:00:00.0	50.43558	16.65189	359.559	316.319	2,359	1.8	-1.15	-1.21	0.24	0.22
KLDZ	12261M001	2020-07-08 00:30:00.0	50.43558	16.65189	359.559	316.319	2,362.5	1.7	-0.91	-0.89	0.23	0.22
KLDZ	12261M001	2020-07-08 01:00:00.0	50.43558	16.65189	359.558	316.318	2,366.9	1.1	-0.69	-0.9	0.12	0.14
KLOB	12219M001	2020-07-08 00:00:00.0	50.90553	18.93689	301.638	262.934	2,355.2	1.4	-0.94	-1.24	0.21	0.16
KLOB	12219M001	2020-07-08 00:30:00.0	50.90553	18.93689	301.638	262.934	2,359.2	1.3	-0.78	-1.31	0.18	0.16
KLOB	12219M001	2020-07-08 01:00:00.0	50.90553	18.93689	301.637	262.933	2,361.5	1	-0.35	-0.69	0.12	0.11
