345806.066,370346.101,10274.808
346089.783,370238.242,10046.164
346493.252,370208.590,9480.550
346803.174,370256.519,9263.948
349568.904,358535.639,8864.423
349886.877,353580.368,11110.149
350130.165,367325.981,10825.142
350267.915,350230.074,7942.876
350720.868,358678.595,7947.434
350872.911,366893.028,9624.995
350978.399,357741.776,9591.813
351096.616,366946.642,8092.424
351300.147,366652.570,8247.421
351420.044,350369.369,7025.505
351615.658,366460.075,8424.847
351872.833,358821.551,7030.444
351993.369,366751.372,6985.755
352292.300,376184.787,11340.889
352572.174,350508.665,6108.133
352658.278,365287.526,7281.332
352890.123,366556.103,5879.085
353109.833,369682.409,10981.639
353213.822,363681.295,7930.024
353361.076,369539.692,10945.214
353731.222,364966.500,6328.992
353892.274,369494.717,10913.430
354060.675,369348.068,11273.905
354077.089,369326.613,10310.894
354336.821,363777.266,10943.379
354366.096,363826.384,7013.711
354436.245,369452.402,9986.574
354728.711,353282.426,7689.424
354804.167,364645.473,5376.653
354845.605,369425.040,9700.784
354962.036,374252.395,8216.151
355055.580,368602.980,8214.086
355132.247,362545.179,8680.843
355155.029,369430.968,9755.494
355159.556,363810.228,9779.859
355222.060,367065.996,7208.955
355285.791,361830.726,7245.157
355306.006,362847.428,8557.994
355316.119,363831.314,4435.211
355381.441,366401.575,4490.760
355464.922,363793.806,6045.007
355525.191,362009.209,9928.283
355586.033,362063.418,10155.789
355614.361,363052.311,8569.814
355651.038,361747.525,2873.412
355695.750,362215.822,10440.844
355801.206,352956.309,6738.286
355843.807,363094.270,7171.187
356036.233,373935.020,7264.026
356041.397,360499.993,3515.600
356129.367,368283.215,7262.288
356348.152,364618.352,4754.130
356570.905,364350.251,4945.682
356573.425,367713.786,6234.008
356610.824,361642.388,9147.399
356670.644,364116.562,5181.085
356680.560,361007.476,6720.489
356855.508,367870.915,6211.467
356873.702,352630.191,5787.149
356942.452,362860.037,1922.471
356953.456,362682.368,5328.664
357087.623,362629.916,4969.507
357110.431,373617.644,6311.901
357139.844,362574.382,2035.489
357203.154,367963.450,6310.490
357500.292,364763.688,3837.602
357556.805,362653.376,4460.595
357559.551,362311.266,2480.313
357674.351,370393.246,3289.515
357677.767,357139.781,9725.915
357679.090,360914.162,5710.984
357684.491,361319.552,8196.558
357729.030,362109.558,2579.509
357772.402,370060.794,3496.065
357904.778,369393.224,3953.439
357931.883,363053.056,4266.601
358154.297,368655.684,4291.340
358216.229,368408.949,4418.732
358219.846,363317.077,4274.305
358272.018,367166.569,5594.771
358323.994,368332.410,4641.144
358475.132,368187.509,5076.614
358652.432,364909.025,2921.074
358709.993,367126.738,5803.959
358783.814,358205.271,2860.946
358796.142,354355.020,5996.417
358822.713,366609.146,6315.484
358828.054,351754.346,3185.540
358838.774,360907.498,3018.985
358926.607,371915.627,8407.878
358946.618,351109.561,7167.807
358957.795,356857.559,2684.996
359037.301,367334.199,5678.569
359093.475,370534.832,2502.446
359139.537,371776.902,8097.718
359176.930,351147.515,5769.139
359201.506,350268.222,1973.484
359206.814,358213.904,2909.034
359252.505,362801.445,3099.726
359257.499,360900.744,4647.317
359267.037,356977.713,2497.945
359269.658,362097.077,4889.474
359270.369,352148.757,4482.071
359288.126,359717.131,3546.371
359288.126,359717.131,3546.371
359291.845,354357.217,4783.183
359293.789,368327.556,3364.008
359293.789,368327.556,3364.008
359298.011,361479.955,4830.497
359301.961,366010.714,2088.069
359311.023,359893.426,3790.244
359316.839,350454.057,2071.100
359322.525,366186.514,6821.448
359325.313,363082.807,3270.524
359352.644,360419.233,4183.926
359357.896,359824.315,6446.305
359372.271,363461.754,3358.001
359386.889,365854.604,2095.549
359393.600,359693.672,6927.613
359397.680,359575.146,7174.785
359409.577,362424.131,4809.857
359439.068,368250.770,3635.599
359451.583,365553.355,2203.402
359477.107,366030.692,6945.366
359496.802,357043.002,2197.571
359501.975,363267.328,5886.240
359510.140,350741.044,2158.920
359517.417,371581.882,7569.916
359547.238,359720.845,5995.257
359594.471,366478.336,3158.095
359609.135,363778.053,8747.063
359621.434,365082.533,6235.913
359651.406,364404.296,1746.405
359671.676,371484.844,7208.342
359746.603,366089.980,10800.383
359806.349,367813.860,4124.579
359813.436,365472.960,5867.823
359853.715,359534.086,5647.129
359914.669,350460.074,4639.057
359940.301,367616.553,4336.652
359962.410,359216.371,2165.517
360025.621,349930.977,2937.410
360037.159,359285.938,5487.800
360044.732,365704.990,5506.716
360054.896,358334.252,2952.322
360080.282,358955.698,10643.184
360135.283,371178.537,5241.557
360135.283,371178.537,5241.557
360188.797,357013.418,3771.579
360223.082,371119.804,5539.194
360241.522,358943.569,4295.308
360416.744,371054.062,6008.806
360426.718,365664.424,4925.469
360491.522,365656.538,9601.734
360506.976,350578.168,1397.844
360524.696,363606.432,2441.696
